"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Acrobatic Cheerleader","W","C","416533","5.31","58416","7.59","245161","69.2%","54.3%","44349","54.4%","52744","52.7%","97093","53.5%","147696","54.9%","-1.4pp"
"Cult Healer","W","C","460242","6.30","53999","9.35","137054","42.0%","53.6%","23549","52.8%","32393","53.3%","55942","53.1%","81136","53.9%","-0.9pp"
"Dazzling Theater // Prop Room","W","R","59308","4.72","6526","7.35","7018","18.3%","45.2%","1140","37.1%","1606","41.7%","2746","39.8%","4259","48.6%","-8.8pp"
"Dollmaker's Shop // Porcelain Gallery","W","M","8225","1.41","6085","1.38","34434","90.7%","57.0%","6124","63.2%","8321","62.5%","14445","62.8%","19984","52.8%","10.0pp"
"Emerge from the Cocoon","W","C","455331","6.40","53917","9.36","116809","36.3%","52.0%","18425","50.5%","30044","56.6%","48469","54.3%","67585","50.3%","4.0pp"
"Enduring Innocence","W","R","19005","1.59","11648","1.58","64799","90.1%","56.7%","11403","61.4%","15353","58.9%","26756","59.9%","38095","54.4%","5.6pp"
"Ethereal Armor","W","U","106898","3.41","25346","4.16","125132","80.9%","55.7%","20463","55.8%","30408","58.6%","50871","57.5%","74250","54.4%","3.1pp"
"Exorcise","W","U","95641","2.99","25555","3.66","137453","88.4%","55.3%","23023","55.0%","32849","57.7%","55872","56.6%","81472","54.5%","2.1pp"
"Fear of Abduction","W","U","104477","3.34","24858","4.11","122666","81.1%","54.8%","18769","53.4%","29976","57.9%","48745","56.2%","74086","53.9%","2.4pp"
"Fear of Immobility","W","C","441759","5.74","60659","8.33","221993","60.2%","54.8%","34468","52.7%","54005","56.4%","88473","54.9%","133550","54.7%","0.2pp"
"Fear of Surveillance","W","C","344316","4.14","65616","5.66","360818","90.2%","55.5%","65339","56.3%","82737","54.8%","148076","55.5%","212420","55.4%","0.0pp"
"Friendly Ghost","W","C","456210","6.14","60785","8.86","200632","54.3%","55.1%","31868","54.3%","46092","56.4%","77960","55.6%","122509","54.8%","0.8pp"
"Ghostly Dancers","W","R","17464","1.46","12696","1.44","72717","91.1%","57.6%","12234","62.5%","18667","65.8%","30901","64.5%","41809","52.6%","11.9pp"
"Glimmer Seeker","W","U","92661","2.94","25414","3.56","138737","88.7%","55.9%","24150","58.7%","32445","56.0%","56595","57.1%","82255","55.0%","2.1pp"
"Grand Entryway // Elegant Rotunda","W","C","351849","4.13","65861","5.61","332943","83.6%","54.9%","58798","52.9%","78818","55.8%","137616","54.5%","194940","55.1%","-0.6pp"
"Hardened Escort","W","C","448901","6.07","51608","9.03","158024","50.4%","54.3%","26911","54.3%","34400","53.5%","61311","53.8%","96471","54.5%","-0.6pp"
"Jump Scare","W","C","470194","6.53","64084","9.30","187155","48.0%","55.5%","29294","54.2%","41485","56.1%","70779","55.3%","116362","55.6%","-0.2pp"
"Leyline of Hope","W","R","78301","5.94","8872","9.41","683","1.3%","39.8%","14","","145","","159","","523","39.8%",""
"Lionheart Glimmer","W","U","110289","3.48","23161","4.45","116937","83.5%","54.9%","18126","54.4%","27754","56.4%","45880","55.6%","70921","54.5%","1.1pp"
"Living Phone","W","C","490700","7.40","54070","10.85","65122","20.0%","53.1%","11125","50.2%","14278","51.8%","25403","51.1%","39567","54.3%","-3.2pp"
"Optimistic Scavenger","W","U","79194","2.56","31309","2.78","168000","86.5%","57.2%","30083","64.7%","39930","57.6%","70013","60.7%","97874","54.6%","6.0pp"
"Orphans of the Wheat","W","U","139595","4.43","22296","6.01","95067","70.4%","54.1%","17001","54.4%","20573","52.0%","37574","53.1%","57274","54.6%","-1.5pp"
"Overlord of the Mistmoors","W","M","7315","1.21","6156","1.19","36999","93.3%","59.0%","6432","68.0%","9177","68.4%","15609","68.2%","21379","52.3%","15.9pp"
"Patched Plaything","W","U","123607","3.89","25648","4.99","124795","80.3%","54.7%","21737","54.0%","28374","54.2%","50111","54.1%","74821","55.0%","-1.0pp"
"Possessed Goat","W","C","473711","6.94","47746","10.43","72173","25.4%","51.7%","13036","53.1%","16577","51.6%","29613","52.3%","42395","51.3%","0.9pp"
"Reluctant Role Model","W","R","22723","1.85","10971","1.89","59709","89.4%","55.5%","11029","59.7%","13714","54.5%","24743","56.8%","34909","54.6%","2.2pp"
