"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","238866","4.59","47375","6.30","215890","72.4%","53.1%","39930","51.8%","52846","54.9%","92776","53.6%","119781","52.6%","1.0pp"
"Rooftop Percher","","C","304612","6.24","48849","8.74","162778","52.3%","54.4%","27044","52.0%","41094","57.1%","68138","55.0%","91164","53.5%","1.6pp"
"Adept Watershaper","W","R","12106","2.13","5401","2.31","40808","88.2%","55.6%","7177","58.0%","10237","57.7%","17414","57.9%","23042","53.6%","4.2pp"
"Ajani, Outland Chaperone","W","M","4443","1.49","2764","1.54","23353","86.8%","55.9%","4249","62.8%","5878","59.5%","10127","60.9%","13331","52.2%","8.7pp"
"Appeal to Eirdu","W","C","328706","7.74","37140","11.27","23841","10.1%","51.9%","3776","46.8%","5571","52.1%","9347","50.0%","14502","53.1%","-3.1pp"
"Bark of Doran","W","U","124024","7.19","15149","10.46","12413","13.0%","50.3%","2098","47.2%","3120","50.8%","5218","49.4%","7208","51.1%","-1.7pp"
"Brigid, Clachan's Heart","W","R","12165","2.20","5381","2.34","40519","84.1%","56.2%","7311","61.7%","9676","60.4%","16987","60.9%","22734","52.3%","8.6pp"
"Burdened Stoneback","W","U","82067","4.54","13728","5.96","56758","65.2%","53.1%","10243","52.5%","13578","53.4%","23821","53.0%","32997","53.2%","-0.2pp"
"Champion of the Clachan","W","R","17368","2.84","5088","3.23","31103","73.8%","54.7%","5205","55.3%","7347","55.9%","12552","55.7%","17833","53.4%","2.3pp"
"Clachan Festival","W","U","66068","3.84","15971","4.66","82667","78.7%","55.5%","14547","55.7%","19163","57.2%","33710","56.5%","47705","54.3%","2.2pp"
"Crib Swap","W","U","95769","5.43","9628","8.37","21707","35.9%","50.8%","3591","48.7%","5226","51.3%","8817","50.2%","12519","50.9%","-0.7pp"
"Curious Colossus","W","M","5535","1.78","3185","1.82","24997","86.1%","56.4%","4216","57.8%","6498","66.1%","10714","62.9%","14260","51.6%","11.3pp"
"Eirdu, Carrier of Dawn","W","M","4441","1.48","2873","1.49","23924","88.5%","55.8%","4015","57.9%","6317","63.2%","10332","61.1%","13575","51.6%","9.6pp"
"Encumbered Reejerey","W","U","62489","3.59","17317","4.23","97420","85.1%","55.5%","17915","58.8%","23226","54.5%","41141","56.4%","55162","54.6%","1.7pp"
"Evershrike's Gift","W","U","104986","5.79","14212","8.22","38548","42.8%","53.5%","6374","50.2%","9135","55.3%","15509","53.2%","23062","53.7%","-0.5pp"
