"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Anticausal Vestige","","R","11158","1.16","10188","1.16","62195","99.2%","56.0%","10819","59.1%","16436","59.6%","27255","59.4%","34547","53.3%","6.1pp"
"Tezzeret, Cruel Captain","","M","7189","1.49","3742","1.48","18947","85.7%","51.7%","3331","50.7%","5040","52.7%","8371","51.9%","10449","51.5%","0.4pp"
"All-Fates Stalker","W","U","66439","2.62","26640","2.92","148603","89.7%","56.9%","25785","57.7%","38052","61.3%","63837","59.8%","84215","54.6%","5.2pp"
"Astelli Reclaimer","W","R","18828","1.96","8301","2.00","42402","83.9%","55.1%","7131","52.3%","11219","59.0%","18350","56.4%","23936","53.9%","2.6pp"
"Auxiliary Boosters","W","C","378913","5.99","53071","8.69","171344","53.0%","54.9%","28305","52.3%","42576","56.5%","70881","54.8%","100073","55.0%","-0.1pp"
"Banishing Light","W","C","206598","3.09","57710","3.85","319514","89.9%","56.2%","54437","55.6%","81740","60.0%","136177","58.2%","181697","54.6%","3.7pp"
"Beyond the Quiet","W","R","21159","2.22","9154","2.21","44285","78.7%","56.2%","7752","57.0%","11575","60.9%","19327","59.4%","24745","53.8%","5.6pp"
"Brightspear Zealot","W","C","404043","6.96","46004","10.37","68667","24.8%","53.4%","12027","53.1%","16807","53.6%","28834","53.4%","39677","53.5%","-0.1pp"
"Cosmogrand Zenith","W","M","6033","1.28","4849","1.26","28658","94.0%","57.5%","5032","64.1%","7717","63.1%","12749","63.5%","15841","52.6%","10.9pp"
"Dawnstrike Vanguard","W","U","109036","4.20","15164","5.98","59159","65.6%","52.7%","9638","50.1%","14669","53.4%","24307","52.1%","34845","53.1%","-1.0pp"
"Dockworker Drone","W","C","333375","4.98","50803","7.15","246295","80.3%","54.5%","44506","54.2%","58999","54.3%","103505","54.3%","142389","54.6%","-0.4pp"
"Dual-Sun Adepts","W","U","94134","3.55","21096","4.55","112255","87.1%","55.4%","19818","56.1%","27926","57.2%","47744","56.8%","64437","54.5%","2.3pp"
"Dual-Sun Technique","W","U","143392","5.72","15856","8.70","32919","34.9%","52.2%","5244","47.6%","8049","53.3%","13293","51.1%","19624","53.0%","-1.9pp"
"Emergency Eject","W","U","104541","3.98","14276","5.66","59791","70.4%","52.9%","10281","49.9%","15214","55.4%","25495","53.2%","34129","52.6%","0.6pp"
"Exalted Sunborn","W","M","7244","1.53","4359","1.50","22571","86.1%","54.7%","3883","55.9%","5850","58.5%","9733","57.5%","12815","52.6%","4.9pp"
"Exosuit Savior","W","C","382178","6.10","48515","8.99","131105","44.8%","53.4%","22372","49.8%","33237","54.2%","55609","52.4%","75205","54.1%","-1.7pp"
"Flight-Deck Coordinator","W","C","397303","6.70","45005","10.07","81584","29.8%","54.3%","14409","54.7%","20003","54.8%","34412","54.7%","47073","54.1%","0.7pp"
"Focus Fire","W","C","314307","4.66","58713","6.30","291673","80.8%","55.8%","50243","55.1%","73177","58.0%","123420","56.8%","167080","55.0%","1.9pp"
"Haliya, Guided by Light","W","R","17641","1.85","9040","1.85","50057","90.1%","56.6%","8735","59.3%","12500","60.2%","21235","59.8%","27506","53.4%","6.5pp"
"Hardlight Containment","W","R","37989","3.63","5870","4.85","17366","50.2%","51.3%","2916","48.9%","4367","54.2%","7283","52.1%","10012","50.7%","1.4pp"
"Honor","W","U","120157","4.45","20912","6.09","95685","75.1%","55.3%","16325","55.5%","24036","56.4%","40361","56.1%","54991","54.8%","1.3pp"
"Honored Knight-Captain","W","U","105423","3.91","22533","5.07","111292","81.1%","55.4%","20172","56.3%","26916","56.6%","47088","56.5%","63965","54.6%","1.9pp"
"Knight Luminary","W","C","300035","4.46","63338","5.82","329341","84.4%","56.2%","59016","57.3%","81579","57.6%","140595","57.5%","187756","55.2%","2.3pp"
"Lightstall Inquisitor","W","R","31736","2.96","8258","3.54","41839","82.5%","56.3%","7473","61.4%","9691","54.8%","17164","57.7%","21856","54.5%","3.2pp"
"Lumen-Class Frigate","W","R","15343","1.61","9624","1.58","54146","90.8%","56.5%","9781","62.4%","13593","58.5%","23374","60.1%","29871","53.5%","6.7pp"
"Luxknight Breacher","W","C","388581","6.55","38404","10.14","58096","25.2%","51.4%","9586","49.1%","14239","52.5%","23825","51.1%","34273","51.5%","-0.4pp"
"Pinnacle Starcage","W","R","44545","4.26","5301","6.51","6721","21.4%","48.9%","1138","45.2%","1617","48.4%","2755","47.0%","3946","50.4%","-3.3pp"
"Pulsar Squadron Ace","W","U","106431","3.94","21901","5.18","107771","80.9%","55.1%","19566","56.0%","26129","55.0%","45695","55.4%","61853","54.8%","0.6pp"
"Radiant Strike","W","C","336451","5.07","48192","7.39","196159","67.3%","54.6%","32750","53.2%","50060","57.5%","82810","55.8%","112611","53.7%","2.1pp"
"Rayblade Trooper","W","U","76691","2.93","23509","3.47","130033","89.7%","56.4%","22672","58.6%","32524","58.6%","55196","58.6%","74471","54.8%","3.8pp"
"Reroute Systems","W","U","129657","4.92","17077","7.19","55042","53.9%","52.9%","9458","51.3%","13645","53.7%","23103","52.7%","31831","53.1%","-0.3pp"
"Rescue Skiff","W","U","116505","4.45","16625","6.37","55026","55.6%","52.6%","8955","48.6%","14008","55.4%","22963","52.7%","31197","52.2%","0.5pp"
"Scout for Survivors","W","U","138490","5.56","16441","8.30","32823","33.6%","52.0%","5275","47.2%","8223","54.3%","13498","51.5%","19282","52.3%","-0.8pp"
"Seam Rip","W","U","129159","4.91","17108","7.17","53035","51.7%","53.9%","9347","53.3%","13288","54.7%","22635","54.2%","30242","53.5%","0.6pp"
"The Seriema","W","R","26235","2.66","8768","2.77","35540","66.4%","56.6%","6075","61.2%","8831","59.4%","14906","60.1%","20037","53.7%","6.4pp"
"Squire's Lightblade","W","C","412959","7.44","45131","11.03","36823","13.5%","53.5%","6117","52.3%","8721","54.6%","14838","53.6%","21871","53.4%","0.2pp"
"Starfield Shepherd","W","U","70686","2.75","24878","3.14","135146","87.9%","56.2%","24257","58.1%","34186","59.0%","58443","58.6%","76230","54.3%","4.3pp"
"Starfighter Pilot","W","C","363613","5.64","50484","8.18","195452","64.0%","54.3%","35330","55.1%","46481","53.3%","81811","54.1%","113376","54.4%","-0.4pp"
"Starport Security","W","C","391189","6.49","46561","9.62","111592","39.4%","54.2%","19604","53.7%","25337","53.5%","44941","53.6%","58793","53.6%","0.0pp"
"Sunstar Chaplain","W","R","17897","1.85","9857","1.83","55287","90.1%","57.0%","10214","61.2%","13854","60.2%","24068","60.6%","31129","54.2%","6.4pp"
"Sunstar Expansionist","W","U","83876","3.12","23464","3.79","128867","89.4%","55.8%","23433","58.6%","31407","56.6%","54840","57.4%","73758","54.6%","2.9pp"
"Sunstar Lightsmith","W","U","86518","3.34","23601","4.03","125216","86.9%","55.3%","21381","55.7%","32480","57.0%","53861","56.5%","71105","54.4%","2.1pp"
"Wedgelight Rammer","W","U","111668","4.19","16634","5.87","66040","66.3%","53.9%","11226","53.6%","16445","55.3%","27671","54.6%","37231","53.2%","1.4pp"
"Weftblade Enhancer","W","C","361396","5.61","45142","8.37","149061","54.9%","53.5%","24637","50.8%","36911","55.2%","61548","53.5%","87242","53.6%","-0.1pp"
"Zealous Display","W","C","417964","7.85","46005","11.48","28887","10.4%","52.9%","4649","49.0%","6823","53.9%","11472","51.9%","17381","53.5%","-1.6pp"
"Annul","U","U","151688","6.18","18914","9.14","29437","26.3%","50.5%","5036","48.7%","8022","52.6%","13058","51.1%","16197","49.9%","1.2pp"
"Atomic Microsizer","U","U","165109","7.14","20150","10.59","10563","8.7%","50.2%","1778","45.1%","2845","51.4%","4623","49.0%","5846","51.1%","-2.1pp"
"Cerebral Download","U","U","127083","4.81","25900","6.44","104287","67.1%","54.0%","17091","51.3%","29495","57.2%","46586","55.0%","56840","53.0%","2.0pp"
"Cloudsculpt Technician","U","C","403296","7.03","49151","10.42","66287","22.6%","50.9%","11497","50.0%","18708","52.6%","30205","51.6%","35720","50.3%","1.4pp"
"Codecracker Hound","U","U","72006","2.83","34288","3.11","194208","91.3%","56.6%","34694","58.3%","55239","60.6%","89933","59.7%","102121","53.8%","5.9pp"
"Consult the Star Charts","U","R","23335","2.33","10230","2.45","53458","87.3%","54.4%","9593","52.4%","14991","58.3%","24584","56.0%","28360","52.9%","3.1pp"
"Cryogen Relic","U","C","237080","3.64","78736","4.32","431459","88.9%","56.3%","78044","58.4%","121340","59.5%","199384","59.1%","226542","53.7%","5.4pp"
"Cryoshatter","U","C","312252","4.64","67250","6.32","340320","83.3%","54.9%","58525","53.2%","96340","57.7%","154865","56.0%","181422","53.9%","2.1pp"
