"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Summon: Bahamut","","M","8464","1.46","5467","1.43","30012","89.4%","54.3%","4993","51.4%","8169","59.9%","13162","56.7%","16480","52.0%","4.6pp"
"Ultima, Origin of Oblivion","","R","31646","2.58","7664","2.90","39193","85.8%","52.5%","6487","50.5%","10279","54.6%","16766","53.0%","22244","52.0%","1.0pp"
"Adelbert Steiner","W","U","112905","3.37","29257","4.01","160559","87.3%","57.2%","28991","58.6%","36984","57.7%","65975","58.1%","94367","56.6%","1.5pp"
"Aerith Gainsborough","W","R","29579","2.45","8366","2.70","42307","83.0%","54.7%","7440","55.6%","10237","54.9%","17677","55.2%","24553","54.2%","1.0pp"
"Aerith Rescue Mission","W","C","549575","6.98","66804","10.05","131222","32.0%","54.6%","21764","51.8%","30194","55.5%","51958","53.9%","78939","55.1%","-1.2pp"
"Ambrosia Whiteheart","W","U","127865","3.70","29045","4.60","156733","87.0%","56.3%","28050","56.3%","36211","56.5%","64261","56.4%","91482","56.2%","0.3pp"
"Ashe, Princess of Dalmasca","W","U","149856","4.52","23668","6.06","105519","72.6%","55.6%","18695","55.7%","24359","53.9%","43054","54.7%","62285","56.2%","-1.5pp"
"Auron's Inspiration","W","U","215646","7.17","25602","10.36","34000","21.7%","54.6%","5642","51.8%","7607","53.1%","13249","52.5%","20739","55.9%","-3.4pp"
"Battle Menu","W","U","116879","3.35","30923","4.06","173071","89.2%","57.1%","30566","56.6%","40940","59.4%","71506","58.2%","100937","56.3%","1.9pp"
"Cloud, Midgar Mercenary","W","M","11745","2.00","5015","2.00","25770","81.9%","56.9%","4656","60.2%","6024","57.5%","10680","58.7%","15017","55.7%","3.0pp"
"Cloudbound Moogle","W","C","562039","7.28","57838","10.88","74648","21.1%","53.3%","13039","50.3%","17616","53.3%","30655","52.1%","43828","54.1%","-2.1pp"
"Coeurl","W","C","549488","6.95","64354","10.12","144936","36.7%","54.8%","26113","54.0%","33155","53.8%","59268","53.9%","85381","55.4%","-1.5pp"
"Crystal Fragments","W","U","177405","5.40","22236","7.77","72554","53.7%","53.7%","12668","52.5%","16446","52.4%","29114","52.4%","40447","54.1%","-1.7pp"
"The Crystal's Chosen","W","U","160730","4.84","31067","6.20","128830","67.6%","55.7%","20968","54.7%","31219","58.5%","52187","57.0%","76189","54.8%","2.2pp"
"Delivery Moogle","W","U","127458","3.76","37688","4.31","198500","82.7%","58.3%","33794","59.5%","47328","60.4%","81122","60.0%","116617","57.1%","2.9pp"
"Dion, Bahamut's Dominant","W","R","16413","1.39","13191","1.37","81380","94.5%","58.4%","14357","64.0%","20358","64.8%","34715","64.5%","45989","53.7%","10.8pp"
"Dragoon's Lance","W","U","87998","2.66","36125","2.88","211488","90.6%","58.9%","38717","63.2%","46970","60.4%","85687","61.6%","109690","55.3%","6.3pp"
"Dwarven Castle Guard","W","C","526564","6.34","69239","9.00","227743","53.6%","55.0%","41140","54.8%","52376","53.6%","93516","54.1%","133769","55.6%","-1.5pp"
"Fate of the Sun-Cryst","W","C","432740","4.80","59407","6.88","268002","73.8%","54.5%","44964","51.6%","64899","55.9%","109863","54.1%","157161","54.6%","-0.5pp"
"From Father to Son","W","R","86769","6.73","11218","10.14","739","1.1%","47.0%","132","","188","","320","","420","",""
"G'raha Tia","W","U","134388","3.99","23762","5.17","111779","77.2%","54.3%","18608","52.8%","27161","54.9%","45769","54.0%","65893","54.3%","-0.3pp"
"Gaelicat","W","C","457797","5.26","78428","6.97","381940","78.2%","56.8%","66124","56.2%","90350","57.0%","156474","56.7%","224862","57.0%","-0.3pp"
"Machinist's Arsenal","W","R","25257","2.13","11991","2.17","67561","89.0%","56.6%","11355","57.5%","16410","59.8%","27765","58.9%","38417","54.7%","4.1pp"
"Magitek Armor","W","U","156736","4.59","34478","5.73","167710","77.9%","56.9%","28115","57.6%","39941","56.8%","68056","57.1%","98108","56.6%","0.5pp"
"Magitek Infantry","W","C","429566","4.98","96055","6.15","418617","68.9%","58.6%","75063","60.4%","80711","55.9%","155774","58.1%","253797","58.8%","-0.8pp"
"Minwu, White Mage","W","R","40540","3.28","7293","3.99","28014","64.2%","52.5%","4653","50.2%","6762","52.5%","11415","51.6%","16571","53.1%","-1.5pp"
"Moogles' Valor","W","R","31466","2.59","12200","2.73","65008","84.8%","56.6%","10834","56.5%","15539","60.6%","26373","58.9%","38394","54.9%","4.0pp"
"Paladin's Arms","W","C","453148","5.09","72976","6.98","373196","82.5%","56.4%","65681","55.9%","86568","55.6%","152249","55.8%","216408","56.7%","-0.9pp"
"Phoenix Down","W","U","198502","6.19","24532","8.97","54698","36.5%","54.1%","9202","50.7%","12646","53.4%","21848","52.2%","29971","54.4%","-2.2pp"
"Restoration Magic","W","U","168980","4.94","26397","6.75","110072","67.8%","56.3%","18235","55.3%","26122","58.3%","44357","57.1%","65466","55.7%","1.4pp"
"Sidequest: Catch a Fish","W","U","199936","6.55","21276","9.91","25727","19.9%","52.3%","4367","51.1%","6036","50.2%","10403","50.5%","15277","53.5%","-3.0pp"
"Slash of Light","W","C","457173","5.19","75800","6.99","373174","79.1%","56.6%","62365","55.2%","87263","57.8%","149628","56.7%","222546","56.6%","0.1pp"
"Snow Villiers","W","U","185527","5.73","21253","8.45","60427","46.7%","53.6%","10540","51.7%","13816","51.9%","24356","51.8%","36008","54.8%","-3.0pp"
"Stiltzkin, Moogle Merchant","W","R","62100","4.56","9902","6.36","31505","52.3%","53.8%","5579","53.6%","7410","52.2%","12989","52.8%","18346","54.5%","-1.7pp"
"Summon: Choco/Mog","W","C","506499","6.14","61707","8.83","181482","47.9%","54.6%","31070","52.6%","40777","54.1%","71847","53.4%","108577","55.3%","-1.9pp"
"Summon: Knights of Round","W","M","9027","1.57","5664","1.54","30934","86.7%","55.9%","5119","56.3%","7891","61.1%","13010","59.2%","17649","53.2%","5.9pp"
"Summon: Primal Garuda","W","U","129874","3.84","22644","5.03","109864","78.4%","55.7%","18778","55.4%","26012","57.6%","44790","56.7%","64652","54.9%","1.7pp"
"Ultima","W","R","35018","2.92","9259","3.21","36165","64.8%","53.4%","6138","52.7%","9316","56.8%","15454","55.2%","20470","52.1%","3.1pp"
"Venat, Heart of Hydaelyn","W","R","23463","1.97","11001","1.98","61732","89.3%","56.1%","10815","57.7%","15000","58.6%","25815","58.2%","35777","54.6%","3.6pp"
"Weapons Vendor","W","C","486140","5.72","74057","7.85","288065","62.7%","56.4%","48627","54.5%","67032","56.1%","115659","55.4%","171902","57.0%","-1.6pp"
"White Auracite","W","C","284009","3.24","84208","3.81","473916","89.1%","57.5%","79738","57.9%","113104","60.4%","192842","59.4%","274674","55.9%","3.5pp"
"White Mage's Staff","W","C","384804","4.25","83927","5.39","473728","89.9%","57.3%","85710","59.4%","106374","56.5%","192084","57.8%","259143","56.5%","1.3pp"
"The Wind Crystal","W","R","51349","4.09","7387","5.63","21482","48.5%","52.1%","3533","48.4%","5148","52.6%","8681","50.9%","12550","52.5%","-1.6pp"
