"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","9400","1.89","4038","1.88","21296","85.3%","52.2%","3408","47.4%","6881","56.9%","10289","53.8%","10576","49.9%","3.8pp"
"Rancorous Archaic","","C","355674","7.38","47134","10.60","83642","28.3%","51.3%","13843","48.8%","25700","56.2%","39543","53.6%","43225","49.0%","4.6pp"
"Sundering Archaic","","U","108179","4.45","29324","5.45","141633","75.2%","55.6%","23274","53.7%","44353","61.6%","67627","58.8%","70851","51.9%","6.9pp"
"Together as One","","R","19455","2.00","13552","1.95","78865","87.6%","58.1%","13339","61.5%","23934","67.9%","37273","65.6%","38409","49.6%","16.0pp"
"Transcendent Archaic","","U","126879","5.32","24658","7.08","92301","59.4%","53.7%","15174","52.0%","28507","59.6%","43681","57.0%","47078","50.1%","6.8pp"
"Ajani's Response","W","C","256510","4.57","54808","5.97","296446","83.3%","56.6%","50281","55.2%","81913","59.0%","132194","57.6%","161582","55.7%","1.8pp"
"Antiquities on the Loose","W","R","19270","1.92","12092","1.91","73690","90.8%","59.4%","13177","65.2%","19726","63.5%","32903","64.2%","40226","55.2%","9.0pp"
"Ascendant Dustspeaker","W","C","323731","6.22","48709","8.76","177564","56.4%","55.9%","29093","53.5%","48553","56.4%","77646","55.3%","99868","56.2%","-0.9pp"
"Daydream","W","U","137200","6.40","15951","9.53","22345","22.1%","51.1%","3734","47.7%","5613","49.6%","9347","48.8%","12942","52.7%","-3.9pp"
"Dig Site Inventory","W","C","299417","5.64","47738","7.75","209110","67.8%","55.8%","35087","54.7%","50914","55.8%","86001","55.4%","122683","56.2%","-0.8pp"
"Eager Glyphmage","W","C","322638","6.25","52108","8.60","198157","58.5%","56.6%","33578","55.7%","51690","56.1%","85268","56.0%","112332","57.1%","-1.1pp"
"Elite Interceptor","W","C","227983","4.17","66053","4.87","388602","89.2%","58.3%","71219","60.8%","100963","58.2%","172182","59.2%","215069","57.5%","1.8pp"
"Emeritus of Truce","W","M","9189","1.84","4992","1.84","28230","87.4%","56.6%","4983","59.2%","7568","58.0%","12551","58.5%","15567","55.1%","3.4pp"
"Ennis, Debate Moderator","W","U","120580","5.44","16071","7.71","49567","48.7%","52.8%","8785","48.2%","12498","51.2%","21283","50.0%","28171","54.9%","-5.0pp"
"Erode","W","R","26741","2.54","8641","2.80","46872","85.2%","55.3%","8069","52.9%","12718","58.2%","20787","56.2%","25678","54.6%","1.6pp"
"Graduation Day","W","U","117799","5.57","14398","8.02","37540","41.2%","52.7%","6602","52.2%","8956","50.1%","15558","51.0%","21890","53.9%","-2.9pp"
"Group Project","W","U","102574","4.40","24631","5.41","131555","82.0%","57.1%","23618","57.7%","33132","56.0%","56750","56.7%","74691","57.3%","-0.6pp"
"Harsh Annotation","W","U","129263","5.99","12325","9.45","20135","25.6%","51.2%","3357","47.7%","5079","51.6%","8436","50.0%","11579","51.9%","-1.9pp"
"Honorbound Page","W","C","330865","6.53","42617","9.44","112529","40.9%","54.6%","19044","51.4%","28451","54.2%","47495","53.1%","64802","55.6%","-2.5pp"
"Informed Inkwright","W","R","17831","1.81","10897","1.81","66163","91.7%","58.1%","12069","63.2%","17542","60.3%","29611","61.5%","36220","55.3%","6.2pp"
"Inkshape Demonstrator","W","U","102722","4.45","20905","5.68","106557","78.5%","56.5%","18066","56.8%","27938","56.3%","46004","56.5%","60305","56.5%","0.1pp"
"Interjection","W","C","346735","7.22","45734","10.29","85955","29.1%","55.8%","14216","54.4%","21632","56.4%","35848","55.6%","49851","55.9%","-0.3pp"
"Joined Researchers","W","R","46634","4.10","9449","5.27","44915","73.9%","55.8%","8204","55.7%","11216","54.3%","19420","54.9%","25451","56.4%","-1.5pp"
"Owlin Historian","W","C","319918","6.16","48714","8.60","193618","61.6%","55.9%","33639","55.3%","51291","55.4%","84930","55.4%","108775","56.4%","-1.0pp"
"Practiced Offense","W","R","17160","1.73","11966","1.69","74508","92.3%","59.4%","12682","62.7%","19845","66.0%","32527","64.7%","41347","54.9%","9.8pp"
"Primary Research","W","U","104777","4.59","20850","5.87","91054","68.3%","55.4%","15337","53.2%","24724","55.9%","40061","54.9%","50778","55.8%","-0.9pp"
"Quill-Blade Laureate","W","U","84235","3.62","21517","4.38","124826","89.1%","57.0%","22565","57.1%","31755","56.8%","54320","56.9%","70175","56.9%","-0.0pp"
"Rapier Wit","W","C","342091","7.04","44001","10.15","86926","30.6%","54.7%","14803","52.1%","22006","55.7%","36809","54.2%","49708","55.0%","-0.8pp"
"Rehearsed Debater","W","C","331667","6.54","47905","9.22","154264","50.0%","55.7%","26921","55.6%","37963","54.0%","64884","54.7%","89200","56.5%","-1.8pp"
"Restoration Seminar","W","M","9936","2.06","5140","2.02","26161","80.0%","55.1%","4416","54.1%","7361","59.4%","11777","57.4%","14073","52.8%","4.6pp"
"Shattered Acolyte","W","C","310770","5.82","50435","8.04","230212","70.3%","56.4%","42026","56.8%","56864","55.2%","98890","55.9%","130845","56.9%","-1.0pp"
"Soaring Stoneglider","W","U","106622","4.62","18157","6.17","85324","73.8%","54.4%","14481","51.6%","22774","55.1%","37255","53.7%","48095","54.8%","-1.1pp"
"Spiritcall Enthusiast","W","U","123538","5.63","17128","7.95","48468","44.4%","53.7%","8406","52.0%","12015","51.9%","20421","51.9%","28010","55.0%","-3.0pp"
"Stand Up for Yourself","W","U","90728","3.85","22495","4.75","126260","86.5%","56.5%","21353","54.8%","34357","58.5%","55710","57.0%","69605","55.8%","1.2pp"
"Stirring Hopesinger","W","R","15806","1.59","10923","1.57","67876","93.3%","58.5%","11934","63.2%","18558","62.3%","30492","62.7%","37106","54.9%","7.7pp"
"Stone Docent","W","C","297623","5.51","57608","7.24","304741","80.8%","57.1%","54861","57.7%","75719","55.6%","130580","56.5%","173940","57.5%","-1.0pp"
"Summoned Dromedary","W","U","111045","4.79","19291","6.48","85479","69.4%","54.9%","14355","53.2%","22255","54.8%","36610","54.2%","49104","55.3%","-1.2pp"
"Banishing Betrayal","U","C","325898","6.23","48535","8.88","180691","59.1%","53.1%","32068","50.7%","53048","57.9%","85116","55.2%","91593","50.8%","4.4pp"
"Brush Off","U","U","115821","5.08","25887","6.27","123190","74.9%","55.0%","20780","53.3%","37533","60.7%","58313","58.0%","61271","51.3%","6.8pp"
"Campus Composer","U","U","111769","4.81","18131","6.62","78051","69.4%","52.6%","13049","51.0%","22989","55.7%","36038","54.0%","40612","51.2%","2.7pp"
"Chase Inspiration","U","C","358441","7.93","46141","11.25","64628","22.3%","52.9%","10711","51.0%","18462","56.2%","29173","54.3%","34213","51.2%","3.1pp"
"Deluge Virtuoso","U","C","332792","6.60","40999","9.70","101734","39.9%","51.1%","17735","49.3%","29201","53.5%","46936","51.9%","52978","50.2%","1.8pp"
"Divergent Equation","U","U","109536","4.87","27323","5.79","132080","76.1%","55.0%","21955","51.6%","41561","61.3%","63516","58.0%","63747","51.0%","6.9pp"
"Echocasting Symposium","U","M","8561","1.77","5156","1.73","28173","86.9%","54.0%","4768","53.5%","8311","60.5%","13079","57.9%","13773","49.2%","8.8pp"
"Emeritus of Ideation","U","M","7038","1.40","5311","1.39","31380","89.7%","57.4%","5367","61.5%","9704","66.1%","15071","64.5%","15364","50.0%","14.5pp"
"Encouraging Aviator","U","U","124323","5.60","15658","8.02","44331","46.3%","49.9%","7649","47.9%","12372","51.9%","20021","50.4%","23719","49.4%","1.0pp"
"Essence Scatter","U","C","281250","5.10","57673","6.74","300537","82.4%","54.4%","52808","54.9%","88300","58.2%","141108","57.0%","152204","51.6%","5.4pp"
"Exhibition Tidecaller","U","R","23771","2.39","11767","2.37","66825","87.8%","55.9%","11558","56.7%","20886","62.3%","32444","60.3%","32385","50.7%","9.6pp"
"Flow State","U","U","88896","3.71","23381","4.58","125754","85.4%","54.2%","22270","53.0%","37925","59.0%","60195","56.8%","62160","51.2%","5.5pp"
"Fractal Anomaly","U","U","150907","7.50","17386","11.02","9699","8.9%","47.1%","1603","42.0%","2891","52.1%","4494","48.5%","5070","45.7%","2.9pp"
"Fractalize","U","U","147136","7.12","17520","10.40","19963","18.1%","50.4%","3334","47.1%","5570","54.1%","8904","51.4%","10661","49.1%","2.4pp"
"Harmonized Trio","U","R","39205","3.67","8114","4.50","30114","60.3%","51.4%","5285","53.2%","8532","53.3%","13817","53.3%","15823","49.5%","3.7pp"
"Homesickness","U","U","116616","5.00","21451","6.68","95045","70.6%","53.3%","15913","51.3%","28793","58.4%","44706","55.8%","47721","50.5%","5.4pp"
"Hydro-Channeler","U","C","307714","5.74","50117","8.00","231728","74.2%","53.2%","41594","54.4%","66357","55.1%","107951","54.8%","121100","51.7%","3.1pp"
"Jadzi, Steward of Fate","U","R","19611","1.93","11369","1.95","65976","90.7%","55.5%","11721","57.3%","19711","60.8%","31432","59.5%","32909","51.2%","8.3pp"
"Landscape Painter","U","C","326094","6.23","44147","9.02","153903","55.7%","52.3%","27393","50.6%","44439","55.4%","71832","53.6%","79915","51.0%","2.6pp"
"Mana Sculpt","U","R","39280","3.52","10872","4.14","53741","77.9%","54.3%","9088","53.9%","16361","60.2%","25449","57.9%","26774","50.1%","7.8pp"
"Mathemagics","U","M","11704","2.38","6020","2.35","33639","86.5%","56.7%","5728","53.4%","10954","66.3%","16682","61.9%","15254","49.2%","12.7pp"
"Matterbending Mage","U","U","90111","3.73","25363","4.56","141948","87.4%","55.4%","24881","54.9%","41963","60.1%","66844","58.2%","71677","52.6%","5.6pp"
"Muse Seeker","U","U","113901","4.96","19020","6.67","78294","66.6%","51.5%","14203","50.7%","22155","53.8%","36358","52.6%","40852","50.5%","2.2pp"
"Muse's Encouragement","U","C","349329","7.24","46174","10.37","99825","34.8%","51.1%","16675","48.3%","29885","55.0%","46560","52.6%","51213","49.3%","3.3pp"
"Orysa, Tide Choreographer","U","U","123683","5.39","17112","7.68","53158","50.1%","51.7%","8909","50.0%","15515","55.2%","24424","53.3%","27808","50.0%","3.3pp"
"Pensive Professor","U","R","21135","2.09","10617","2.11","59966","89.2%","54.4%","10411","57.4%","17821","59.4%","28232","58.6%","30428","50.2%","8.4pp"
"Procrastinate","U","C","340118","6.94","42452","10.15","94469","35.8%","51.0%","16084","48.1%","27432","54.7%","43516","52.2%","48766","49.7%","2.6pp"
"Quick Study","U","C","322993","6.16","49484","8.70","188370","60.4%","53.6%","33258","53.7%","56307","57.6%","89565","56.1%","95114","51.0%","5.1pp"
"Run Behind","U","C","317887","5.91","57673","8.04","265784","72.8%","54.7%","45313","53.5%","79998","59.1%","125311","57.1%","134892","52.3%","4.9pp"
"Skycoach Conductor","U","R","26359","2.53","9703","2.72","51591","84.0%","54.1%","8879","55.1%","15248","58.1%","24127","57.0%","26401","51.2%","5.8pp"
"Spellbook Seeker","U","C","341587","6.97","38791","10.34","64463","26.8%","49.9%","10971","47.2%","18979","52.6%","29950","50.6%","33675","49.1%","1.6pp"
"Tester of the Tangential","U","U","111029","4.82","17477","6.62","73756","68.0%","52.3%","13123","53.8%","20301","54.1%","33424","53.9%","39333","50.7%","3.2pp"
"Textbook Tabulator","U","C","342760","7.11","42145","10.42","82265","31.2%","51.2%","14531","51.0%","23728","54.3%","38259","53.0%","42895","49.6%","3.4pp"
"Wisdom of Ages","U","R","44648","3.97","12685","4.49","59954","74.2%","55.0%","9827","49.8%","19540","61.7%","29367","57.7%","28133","50.6%","7.1pp"
"Adventurous Eater","B","C","307084","5.69","38661","8.20","164782","66.7%","54.6%","28639","53.0%","40444","54.7%","69083","54.0%","94750","55.0%","-1.0pp"
"Arcane Omens","B","U","115351","5.49","29170","6.15","116714","62.5%","55.5%","19360","56.5%","35428","61.6%","54788","59.8%","58920","50.8%","9.0pp"
"Arnyn, Deathbloom Botanist","B","U","113618","5.08","13200","7.42","41381","50.4%","51.8%","7176","48.8%","10102","51.8%","17278","50.5%","23774","52.6%","-2.1pp"
"Burrog Banemaker","B","C","311122","5.86","38437","8.52","148218","60.4%","54.1%","26611","55.4%","35157","53.7%","61768","54.4%","85505","53.8%","0.7pp"
"Cheerful Osteomancer","B","C","326737","6.31","37963","9.34","107159","44.6%","52.7%","17851","48.6%","26487","53.3%","44338","51.4%","61713","53.4%","-2.0pp"
"Cost of Brilliance","B","C","314320","6.02","49307","8.12","208552","65.2%","56.7%","35783","56.5%","52400","58.0%","88183","57.4%","118936","56.0%","1.4pp"
"Decorum Dissertation","B","M","10079","2.02","4353","2.05","21951","80.4%","54.4%","3702","54.0%","5653","57.6%","9355","56.2%","12383","52.9%","3.3pp"
"Dissection Practice","B","U","103791","4.36","18899","5.60","95121","77.9%","56.5%","16331","57.5%","23261","58.4%","39592","58.0%","54928","55.3%","2.8pp"
"Emeritus of Woe","B","M","7576","1.48","4976","1.46","28526","89.2%","56.1%","4806","57.4%","7834","59.9%","12640","59.0%","15493","53.3%","5.6pp"
"End of the Hunt","B","U","79027","3.33","21659","4.02","122096","87.0%","56.3%","21261","56.5%","31915","59.5%","53176","58.3%","67423","54.5%","3.7pp"
"Eternal Student","B","U","114073","4.87","18601","6.61","80196","67.9%","54.9%","13641","53.1%","19370","55.0%","33011","54.2%","46930","55.3%","-1.1pp"
"Foolish Fate","B","U","63232","2.68","21031","3.14","125517","92.1%","56.4%","21422","55.8%","33017","60.3%","54439","58.6%","69527","54.5%","4.0pp"
"Forum Necroscribe","B","U","99886","4.34","15008","5.90","63924","68.1%","52.5%","10505","48.9%","16352","52.8%","26857","51.3%","36404","53.2%","-1.9pp"
"Grave Researcher","B","R","21441","2.10","8046","2.20","45345","88.5%","54.7%","7851","55.6%","11628","55.5%","19479","55.5%","25440","54.0%","1.5pp"
"Last Gasp","B","C","213317","3.74","49001","4.78","281075","88.7%","56.1%","49124","56.0%","72246","58.3%","121370","57.4%","157171","55.0%","2.4pp"
"Lecturing Scornmage","B","U","90757","3.94","20037","4.76","106741","81.3%","57.3%","19426","60.9%","24930","55.8%","44356","58.1%","61957","56.8%","1.3pp"
"Leech Collector","B","U","113171","4.89","14812","6.95","61400","65.3%","53.2%","10871","51.4%","14544","52.1%","25415","51.8%","35495","54.2%","-2.4pp"
"Masterful Flourish","B","C","344851","7.15","41253","10.28","92699","35.1%","55.8%","15313","55.0%","22728","56.8%","38041","56.1%","54059","55.5%","0.6pp"
"Melancholic Poet","B","C","285766","5.28","44534","7.18","228728","79.2%","56.3%","41658","56.2%","54553","55.8%","96211","56.0%","131290","56.5%","-0.6pp"
"Moseo, Vein's New Dean","B","R","19969","1.97","9670","1.97","55131","87.7%","56.9%","9666","59.5%","14167","60.4%","23833","60.1%","30558","54.3%","5.8pp"
"Poisoner's Apprentice","B","U","101103","4.34","16581","5.65","78147","73.7%","54.7%","13460","54.6%","18836","55.7%","32296","55.3%","44895","54.2%","1.1pp"
"Postmortem Professor","B","R","24218","2.38","9606","2.49","54436","86.5%","57.3%","9987","63.5%","13137","57.5%","23124","60.1%","31122","55.2%","4.9pp"
"Pox Plague","B","R","72990","6.58","8857","10.08","244","0.4%","","40","","64","","104","","135","",""
"Pull from the Grave","B","C","343678","6.98","41086","10.22","79402","30.5%","52.8%","13073","49.1%","20481","55.0%","33554","52.7%","45324","52.7%","-0.0pp"
"Rabid Attack","B","U","141887","6.75","15501","10.02","21467","21.8%","52.0%","3539","48.0%","5237","52.0%","8776","50.4%","12616","53.1%","-2.7pp"
"Ral Zarek, Guest Lecturer","B","M","8785","1.71","3682","1.73","18477","80.2%","53.5%","3207","53.5%","4662","55.3%","7869","54.6%","10431","52.4%","2.1pp"
"Scathing Shadelock","B","U","116853","5.09","13854","7.39","50158","57.0%","53.2%","8306","51.3%","12598","53.1%","20904","52.4%","29065","53.6%","-1.2pp"
"Scheming Silvertongue","B","R","19277","1.91","9255","1.94","52761","88.3%","56.3%","9601","60.4%","13655","58.0%","23256","59.0%","29108","54.2%","4.9pp"
"Send in the Pest","B","C","304752","5.72","42967","8.04","169555","61.8%","54.6%","30546","55.1%","40939","54.9%","71485","55.0%","97308","54.4%","0.6pp"
"Sneering Shadewriter","B","C","336524","6.67","39037","9.84","101867","41.1%","53.3%","17021","50.3%","25666","54.3%","42687","52.7%","58288","53.6%","-0.9pp"
"Tragedy Feaster","B","R","29161","2.82","7481","3.14","38035","80.5%","54.4%","6429","54.3%","9586","55.6%","16015","55.1%","21656","53.8%","1.3pp"
"Ulna Alley Shopkeep","B","C","354964","7.80","36322","11.54","30948","13.5%","50.4%","5437","49.3%","7131","48.7%","12568","49.0%","18227","51.3%","-2.4pp"
"Wander Off","B","C","219955","3.82","42423","5.18","235921","87.2%","54.8%","39869","53.0%","62062","57.6%","101931","55.8%","131504","53.9%","1.9pp"
"Withering Curse","B","M","13661","2.70","3513","2.96","13696","62.9%","52.4%","2414","50.8%","3496","55.3%","5910","53.5%","7680","51.4%","2.1pp"
"Ancestral Anger","R","C","354847","7.88","48242","11.04","50286","16.4%","53.0%","8415","51.7%","13349","53.5%","21764","52.8%","28134","53.0%","-0.3pp"
"Archaic's Agony","R","U","137701","6.18","26734","8.18","81569","48.2%","53.7%","13657","51.2%","25292","58.8%","38949","56.1%","40873","50.8%","5.4pp"
"Artistic Process","R","U","90910","3.78","23542","4.70","128647","85.8%","55.1%","21400","53.2%","38442","58.8%","59842","56.8%","65574","53.2%","3.7pp"
"Blazing Firesinger","R","U","130639","5.94","16675","8.62","39012","37.9%","50.3%","6860","49.1%","10753","50.3%","17613","49.8%","21027","50.6%","-0.8pp"
"Charging Strifeknight","R","U","108762","4.55","24160","5.82","125073","81.0%","55.8%","22085","56.5%","35334","57.0%","57419","56.8%","67059","54.9%","1.9pp"
"Choreographed Sparks","R","R","65432","5.85","8023","9.02","4951","9.8%","45.7%","839","40.4%","1366","46.6%","2205","44.3%","2682","46.6%","-2.3pp"
"Duel Tactics","R","U","140846","6.42","20016","9.13","46565","36.3%","54.5%","7934","52.8%","12233","55.8%","20167","54.7%","26162","54.2%","0.4pp"
"Emeritus of Conflict","R","M","11014","2.22","4635","2.32","25400","86.5%","53.7%","4555","54.0%","7208","55.1%","11763","54.6%","13310","52.8%","1.9pp"
"Expressive Firedancer","R","C","319153","6.13","53522","8.44","210493","61.6%","54.7%","37732","56.2%","56436","54.7%","94168","55.3%","114566","54.3%","1.0pp"
"Flashback","R","R","45384","4.03","9043","5.29","37932","66.4%","53.2%","6387","48.5%","11311","57.4%","17698","54.2%","19404","51.9%","2.3pp"
"Garrison Excavator","R","U","98327","4.31","23653","5.28","119751","78.3%","56.5%","20413","55.7%","34035","57.4%","54448","56.7%","65375","56.3%","0.4pp"
"Goblin Glasswright","R","C","293482","5.34","50388","7.47","226137","71.8%","53.0%","41042","53.6%","62919","54.1%","103961","53.9%","119919","52.2%","1.6pp"
"Heated Argument","R","C","295677","5.37","52803","7.47","246254","73.4%","54.1%","41071","51.8%","71792","57.5%","112863","55.5%","129449","52.8%","2.7pp"
"Impractical Joke","R","U","67522","2.90","26985","3.31","161664","93.2%","56.1%","28718","56.9%","46708","59.5%","75426","58.5%","83404","53.7%","4.8pp"
"Improvisation Capstone","R","M","8786","1.77","6061","1.75","35250","89.1%","57.2%","5965","60.8%","10546","63.4%","16511","62.5%","17266","51.1%","11.3pp"
"Living History","R","U","124395","5.50","24737","7.03","109368","68.5%","57.0%","19547","56.8%","29366","56.1%","48913","56.3%","60284","57.5%","-1.2pp"
