"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Ugin, Eye of the Storms","","M","5750","1.07","5525","1.07","34695","97.5%","58.6%","5937","64.4%","9572","70.7%","15509","68.3%","18637","50.0%","18.3pp"
"Anafenza, Unyielding Lineage","W","R","18525","1.73","8898","1.79","50674","93.3%","55.1%","8801","56.4%","11924","55.9%","20725","56.1%","29800","54.3%","1.9pp"
"Arashin Sunshield","W","C","425990","8.01","46512","11.65","34689","12.2%","53.1%","5793","50.0%","8243","52.1%","14036","51.2%","20632","54.3%","-3.0pp"
"Bearer of Glory","W","C","347888","5.25","56680","7.21","286445","82.2%","55.6%","51957","55.2%","62281","54.1%","114238","54.6%","171998","56.3%","-1.8pp"
"Clarion Conqueror","W","R","26328","2.33","9176","2.57","49750","88.5%","55.5%","8674","56.8%","12126","56.4%","20800","56.6%","28748","54.7%","1.9pp"
"Coordinated Maneuver","W","C","356148","5.36","52808","7.58","236161","72.7%","55.9%","39001","54.3%","52908","55.7%","91909","55.1%","144211","56.4%","-1.3pp"
"Dalkovan Packbeasts","W","U","79002","3.10","21490","3.63","118847","90.2%","55.8%","21362","57.7%","26509","55.8%","47871","56.6%","71042","55.3%","1.3pp"
"Descendant of Storms","W","U","87770","3.32","23635","3.92","132413","89.6%","57.1%","24290","62.3%","28312","54.7%","52602","58.2%","79660","56.4%","1.8pp"
"Dragonback Lancer","W","C","390789","6.40","38973","9.76","93996","39.7%","53.1%","15664","50.5%","20964","51.4%","36628","51.0%","57454","54.3%","-3.4pp"
"Duty Beyond Death","W","U","114740","4.46","21899","5.66","104590","77.6%","56.2%","17142","54.8%","22928","56.2%","40070","55.6%","64528","56.5%","-0.9pp"
"Elspeth, Storm Slayer","W","M","5859","1.10","5296","1.09","32313","95.6%","58.6%","5635","64.7%","8228","68.7%","13863","67.1%","18255","52.1%","14.9pp"
"Fortress Kin-Guard","W","C","332326","4.96","62764","6.57","334469","85.4%","56.8%","60925","58.3%","72794","55.7%","133719","56.8%","200277","56.8%","0.1pp"
"Furious Forebear","W","U","115914","4.30","21748","5.70","113749","84.9%","55.8%","20877","56.7%","24875","53.5%","45752","54.9%","67951","56.4%","-1.4pp"
"Lightfoot Technique","W","C","416231","7.36","44894","10.85","71807","26.2%","53.6%","11802","51.2%","15851","53.2%","27653","52.3%","44176","54.4%","-2.1pp"
"Loxodon Battle Priest","W","U","120661","4.78","13470","7.05","46203","56.6%","52.8%","7728","50.9%","10672","53.2%","18400","52.3%","27782","53.0%","-0.8pp"
"Mardu Devotee","W","C","317510","4.93","65196","6.16","337578","82.8%","57.3%","62350","60.3%","71564","56.0%","133914","58.0%","203206","56.8%","1.2pp"
"Osseous Exhale","W","C","301619","4.29","47410","6.11","230990","80.3%","54.2%","39389","52.9%","58260","56.2%","97649","54.9%","132410","53.6%","1.3pp"
"Poised Practitioner","W","C","403437","6.97","45778","10.24","95126","34.2%","53.5%","16475","53.1%","21957","52.5%","38432","52.8%","56486","54.0%","-1.3pp"
"Rally the Monastery","W","U","77173","2.92","26071","3.37","150673","92.9%","56.9%","25402","57.8%","37188","59.9%","62590","59.1%","87752","55.3%","3.7pp"
"Rebellious Strike","W","C","409197","7.17","56832","9.98","171416","49.0%","56.4%","28485","54.8%","37727","56.0%","66212","55.5%","105170","57.0%","-1.6pp"
"Riling Dawnbreaker","W","C","295798","4.15","45416","5.99","232971","84.6%","54.1%","41138","52.0%","64869","54.3%","106007","53.4%","133583","54.5%","-1.1pp"
"Sage of the Skies","W","R","15228","1.44","11789","1.44","73090","96.8%","58.6%","12811","64.1%","18308","64.8%","31119","64.5%","41137","53.9%","10.6pp"
"Salt Road Packbeast","W","C","279700","4.07","68597","5.16","381572","89.1%","57.0%","63856","56.7%","88001","58.5%","151857","57.7%","228513","56.5%","1.3pp"
"Smile at Death","W","M","11859","2.28","3529","2.35","16702","79.5%","53.2%","2749","48.8%","4018","53.7%","6767","51.7%","9939","54.0%","-2.3pp"
"Starry-Eyed Skyrider","W","U","109130","4.17","16823","5.61","78460","77.2%","53.7%","13457","50.7%","17073","52.4%","30530","51.7%","47937","55.0%","-3.3pp"
"Static Snare","W","U","67747","2.57","23180","3.03","133821","94.1%","55.5%","22376","54.5%","32162","57.6%","54538","56.3%","78648","54.8%","1.5pp"
