Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IIH
Aang's Journey,,C,309385,5.66,52231,7.8,209231,61.40%,54.30%,38914,54.50%,55182,56.20%,94096,55.50%,113355,53.10%,2.4pp
Energybending,,U,136174,6.89,16678,10.13,23514,21.90%,51.10%,4192,49.70%,6300,52.60%,10492,51.40%,12873,50.70%,0.7pp
Zuko's Exile,,C,357857,7.2,35831,10.78,51243,22.00%,50.10%,8425,46.00%,13326,50.50%,21751,48.70%,29016,51.00%,-2.3pp
"Aang, the Last Airbender",W,U,38639,2.36,19873,2.57,143280,92.40%,58.00%,24475,59.80%,36547,61.10%,61022,60.60%,81488,55.80%,4.8pp
Aang's Iceberg,W,R,16477,2.14,7528,2.32,54727,89.80%,56.00%,9388,55.40%,13930,58.00%,23318,56.90%,31507,55.10%,1.8pp
Airbender Ascension,W,R,19806,2.55,6305,2.84,38714,79.80%,53.70%,6885,52.60%,9635,53.30%,16520,53.00%,22213,54.30%,-1.3pp
Airbender's Reversal,W,U,59461,3.17,14632,3.8,86544,87.10%,54.50%,14882,52.30%,21577,55.00%,36459,53.90%,49506,54.80%,-0.9pp
Airbending Lesson,W,C,225770,4.19,59599,5.21,345682,85.90%,56.50%,59226,55.30%,86907,57.70%,146133,56.70%,197202,56.10%,0.6pp
"Appa, Loyal Sky Bison",W,U,89812,4.67,12086,6.55,48954,61.70%,53.30%,8006,48.40%,12054,54.20%,20060,51.80%,28817,54.10%,-2.3pp
"Appa, Steadfast Guardian",W,M,6081,1.56,3740,1.6,32392,89.90%,56.60%,5531,57.00%,8288,60.60%,13819,59.20%,18443,54.40%,4.7pp
Avatar Enthusiasts,W,C,257169,4.74,40852,6.6,218897,80.60%,55.70%,38292,55.80%,50551,53.40%,88843,54.40%,129329,56.40%,-2.0pp
Avatar's Wrath,W,R,21882,2.77,5848,3.13,32928,73.60%,53.90%,5531,51.10%,8230,56.60%,13761,54.40%,19143,53.50%,0.8pp
Compassionate Healer,W,C,248479,4.57,55036,5.85,325185,87.50%,57.00%,59313,59.00%,75183,55.00%,134496,56.70%,189615,57.20%,-0.4pp
Curious Farm Animals,W,C,355679,7.45,37806,11.06,40985,16.40%,53.90%,7202,53.90%,9648,53.80%,16850,53.90%,24094,53.90%,-0.1pp
Destined Confrontation,W,U,128007,6.99,13539,10.56,9309,10.50%,50.00%,1532,43.80%,2372,49.00%,3904,47.00%,5400,52.30%,-5.3pp
Earth Kingdom Jailer,W,U,40946,2.41,19879,2.66,140933,92.10%,58.20%,24630,59.80%,35950,61.20%,60580,60.60%,80020,56.10%,4.6pp
Earth Kingdom Protectors,W,U,81192,4.09,20669,4.87,121324,85.00%,57.10%,21449,58.50%,28113,55.80%,49562,57.00%,71152,57.00%,-0.1pp
Enter the Avatar State,W,U,92594,4.56,16704,6.05,83123,74.30%,55.90%,13869,55.40%,20223,56.90%,34092,56.30%,48532,55.50%,0.8pp
Fancy Footwork,W,U,111923,5.48,16554,7.64,59864,55.00%,54.90%,9964,52.20%,14038,54.60%,24002,53.60%,35592,55.60%,-2.0pp
Gather the White Lotus,W,U,95435,5.09,20112,6.16,80949,58.10%,57.20%,13694,55.30%,19403,58.70%,33097,57.30%,47846,57.20%,0.1pp
Glider Kids,W,C,247809,4.49,52244,5.85,307259,87.90%,56.40%,54395,55.80%,74716,56.00%,129111,55.90%,177071,56.60%,-0.6pp
Glider Staff,W,U,59288,3.32,22313,3.66,139746,87.00%,57.00%,24038,56.00%,34912,59.30%,58950,57.90%,80247,56.20%,1.8pp
"Hakoda, Selfless Commander",W,R,13715,1.89,7067,2.03,57401,91.70%,56.40%,9836,57.00%,14810,58.00%,24646,57.60%,32651,55.10%,2.5pp
Invasion Reinforcements,W,U,62369,3.22,19864,3.76,125967,91.10%,56.90%,22614,57.80%,29288,56.50%,51902,57.00%,73479,56.70%,0.3pp
Jeong Jeong's Deserters,W,C,269769,4.86,53416,6.43,307577,85.90%,56.70%,55654,56.70%,71296,54.80%,126950,55.60%,179495,57.30%,-1.7pp
Kyoshi Warriors,W,C,254426,4.64,54466,6.04,312878,85.30%,56.70%,53449,56.40%,75828,56.50%,129277,56.40%,182263,56.80%,-0.3pp
The Legend of Yangchen,W,M,6641,1.67,4633,1.7,40063,91.10%,59.30%,6806,65.40%,10530,66.20%,17336,65.90%,22648,54.20%,11.7pp
Master Piandao,W,U,68919,3.64,14980,4.52,85450,83.90%,55.60%,14229,53.80%,21177,55.60%,35406,54.90%,50339,55.90%,-1.0pp
"Momo, Friendly Flier",W,R,25471,3.06,7336,3.54,43594,75.80%,56.40%,7840,63.00%,10408,54.80%,18248,58.30%,25196,55.00%,3.3pp
"Momo, Playful Pet",W,U,62296,3.29,18976,3.82,118645,89.10%,56.90%,21389,60.20%,27743,55.90%,49132,57.80%,69075,56.10%,1.7pp
Path to Redemption,W,C,196742,3.68,52790,4.54,322288,90.00%,56.60%,55464,54.90%,80460,58.20%,135924,56.90%,186329,56.40%,0.5pp
Rabaroo Troop,W,C,360008,7.41,40641,10.91,49907,18.60%,54.10%,8654,52.60%,11919,52.60%,20573,52.60%,29327,55.00%,-2.4pp
Razor Rings,W,C,254078,4.57,44763,6.21,236424,79.70%,55.60%,40846,54.20%,57907,56.20%,98753,55.40%,137509,55.70%,-0.4pp
Sandbenders' Storm,W,C,328627,6.34,36244,9.52,86682,36.20%,53.90%,14500,50.30%,21077,54.20%,35577,52.60%,51081,54.80%,-2.2pp
South Pole Voyager,W,R,12996,1.85,7228,1.96,61439,92.50%,57.60%,11195,62.60%,15020,60.10%,26215,61.10%,34959,54.80%,6.3pp
